"","playername","vpip","pfr","total_hands","money_won","rake","threebet","bb_per_100","total_rake_100","money_won_100","wwsf"
"29489","P8_336576HU",20,10,10,-800,173,0,-40,0.17,-0.8,0
"29490","P8_337058TU",0,0,11,-150,97,0,-13.64,0.09,-0.14,NA
"29491","P8_338525MM",23.1,0,13,-4100,193,0,-157.69,0.15,-3.15,0
"29492","P8_339441MH",38.5,7.7,13,-9706,188,0,-373.31,0.14,-7.47,0
"29493","P8_339726WO",6.2,0,16,95,87,0,5.94,0.05,0.06,66.7
"29494","P8_340018AA",13.6,6.1,66,4770,763,4,36.14,0.12,0.72,37.5
"29495","P8_340453TA",31.3,4.5,67,-3760,433,5.6,-56.12,0.06,-0.56,36.8
"29496","P8_340572HC",0,0,1,-200,0,0,-100,0,-2,NA
"29497","P8_343342RD",32.1,7.1,56,-36,770,0,-0.32,0.14,-0.01,27.8
"29498","P8_343696JD",28.6,0,7,-725,39,0,-51.71,0.06,-1.04,50
"29499","P8_344189CL",16,4,25,6995,265,0,139.92,0.11,2.8,66.7
"29500","P8_344497JI",12.2,0,49,9660,461,0,197.14,0.09,1.97,50
"29501","P8_345193KY",40,20,5,-6000,46,0,-600,0.09,-12,0
"29502","P8_346173OT",55.6,0,9,-2820,139,0,-156.67,0.15,-3.13,16.7
"29503","P8_346702YO",33.3,0,3,-600,98,0,-100,0.33,-2,0
"29504","P8_347521RJ",36.4,36.4,11,-2755,158,20,-125.27,0.14,-2.5,50
"29505","P8_347607RN",22.2,11.1,9,1300,93,0,72.22,0.1,1.44,100
"29506","P8_348426EN",66.7,5.6,18,-20000,286,0,-555.56,0.16,-11.11,20
"29507","P8_348993AF",25,8.3,12,-4100,158,0,-170.83,0.13,-3.42,0
"29508","P8_354625MC",13.6,4.5,22,1920,290,0,43.64,0.13,0.87,100
"29509","P8_357233BN",100,0,2,5640,42,NA,1410.5,0.21,28.2,100
